,mild_blood,mild_fantasy_violence,mild_language,mild_suggestive_themes,mild_violence,no_descriptors,nudity,partial_nudity,sexual_content,sexual_themes,simulated_gambling,strong_language,suggestive_themes,use_of_alcohol,use_of_drugs_and_alcohol,esrb_rating
711,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
388,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
947,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1372,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
1085,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
740,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
451,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1460,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
569,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
343,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1341,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1517,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1608,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1822,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1226,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
848,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1659,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1418,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
479,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
1123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
944,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1253,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
915,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
224,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
278,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1319,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
838,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1806,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
559,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3
1006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
462,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
258,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1340,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
768,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
902,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1551,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
350,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
709,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1515,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1478,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
613,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1096,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
654,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
695,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1193,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1156,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
298,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
729,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3
693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1772,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
620,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1135,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
211,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
884,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
728,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
804,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1074,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
